hours,dH_curl,dH_roll
590.0,0.125868,-0.043066
591.0,0.024882,-0.013947
592.0,-0.039178,0.028208
593.0,-0.037730,0.025884
594.0,-0.041703,0.005149
595.0,-0.016912,-0.021470
596.0,0.011924,-0.050699
597.0,0.172116,-0.078809
598.0,-0.122161,-0.067220
599.0,-0.203296,-0.059155
600.0,-0.255961,-0.050814
601.0,-0.226243,-0.058340
602.0,-0.211448,-0.069949
603.0,0.163957,-0.083728
604.0,0.057602,-0.106563
605.0,0.062354,-0.100790
606.0,-0.132009,-0.076976
607.0,-0.156222,-0.049252
608.0,-0.153426,-0.028689
609.0,-0.101905,-0.030380
610.0,-0.052887,-0.069615
611.0,0.082480,-0.099148
612.0,0.076726,-0.132217
613.0,0.020508,-0.146544
614.0,-0.231739,-0.153564
615.0,-0.306857,-0.148763
616.0,-0.296800,-0.163330
617.0,-0.334473,-0.198477
618.0,-0.303929,-0.246842
619.0,-0.240467,-0.282205
620.0,-0.095814,-0.301191
621.0,-0.276710,-0.272226
622.0,-0.474649,-0.265427
623.0,-0.497894,-0.256526
624.0,-0.347638,-0.229582
625.0,-0.207315,-0.206670
626.0,0.115835,-0.193158
627.0,-0.225271,-0.190143
628.0,-0.189983,-0.176817
629.0,-0.011153,-0.151690
630.0,-0.028985,-0.126449
631.0,-0.078324,-0.117520
632.0,-0.059626,-0.121005
633.0,-0.116802,-0.150595
634.0,-0.173127,-0.154082
635.0,-0.194997,-0.158750
636.0,-0.240494,-0.175255
637.0,-0.249131,-0.193394
638.0,-0.239247,-0.202555
639.0,-0.267114,-0.210750
640.0,-0.245997,-0.213768
641.0,-0.209218,-0.211873
642.0,-0.246653,-0.207539
643.0,-0.188258,-0.187498
644.0,-0.157965,-0.166737
645.0,-0.153012,-0.146800
646.0,-0.150394,-0.124540
647.0,-0.142985,-0.104040
